title,source,place,published_date,commencement_date,url
Specifying Certain Ports Having Oil Reception Facilities For the Purposes of the Act,Union of India - Act,"UNION OF INDIA,India",10 September 1074,10 September 1074,https://indiankanoon.org/doc/170197905/
Specifying Certain Ports Having Oil Reception Facilities For the Purposes of the Act,Union of India - Act,"UNION OF INDIA,India",10 September 1074,10 September 1074,https://indiankanoon.org/doc/170197905/
The Indian Nursing Council Regulations,Union of India - Act,"UNION OF INDIA,India",1 January 1800,1 January 1800,https://indiankanoon.org/doc/38972733/
Agreement between the Government of the Republic of India and the Government of the Russian Federation for the avoidance of double taxation with respect to taxes on income,Union of India - Act,"UNION OF INDIA,India",1 January 1800,1 January 1800,https://indiankanoon.org/doc/70145438/
Important Directions Regarding Official Language Policy,Union of India - Act,"UNION OF INDIA,India",1 January 1800,1 January 1800,https://indiankanoon.org/doc/171258459/
The Indian Nursing Council Regulations,Union of India - Act,"UNION OF INDIA,India",1 January 1800,1 January 1800,https://indiankanoon.org/doc/38972733/
Agreement between the Government of the Republic of India and the Government of the Russian Federation for the avoidance of double taxation with respect to taxes on income,Union of India - Act,"UNION OF INDIA,India",1 January 1800,1 January 1800,https://indiankanoon.org/doc/70145438/
Important Directions Regarding Official Language Policy,Union of India - Act,"UNION OF INDIA,India",1 January 1800,1 January 1800,https://indiankanoon.org/doc/171258459/
"The Coasting Vessels Act, 1838",Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India on 27 August 1838,Not commenced,https://indiankanoon.org/doc/1751970/
"Bengal Bonded Warehouse Association Act, 1838",Union of India - Act,"UNION OF INDIA,India",14 March 1838,14 March 1838,https://indiankanoon.org/doc/715483/
"Bengal Bonded Warehouse Association Act, 1838",Union of India - Act,"UNION OF INDIA,India",14 March 1838,14 March 1838,https://indiankanoon.org/doc/715483/
"The Coasting Vessels Act, 1838",Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India on 27 August 1838,Not commenced,https://indiankanoon.org/doc/1751970/
"Admiralty Offences (Colonial) Act, 1849",Union of India - Act,"UNION OF INDIA,India",1 August 1849,1 August 1849,https://indiankanoon.org/doc/148528348/
"Admiralty Offences (Colonial) Act, 1849",Union of India - Act,"UNION OF INDIA,India",1 August 1849,1 August 1849,https://indiankanoon.org/doc/148528348/
"The Judicial Officers Protection Act, 1850",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 18 on 4 April 1850,4 April 1850,https://indiankanoon.org/doc/397110/
"Public Accountants' Default Act, 1850",Union of India - Act,"UNION OF INDIA,India",22 March 1850,22 March 1850,https://indiankanoon.org/doc/1631854/
"The Caste Disabilities Removal Act, 1850",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 21 on 11 April 1850,11 April 1850,https://indiankanoon.org/doc/1508011/
"The Forfeited Deposits Act, 1850",Union of India - Act,"UNION OF INDIA,India",14 June 1850,14 June 1850,https://indiankanoon.org/doc/1471369/
"Public Accountants' Default Act, 1850",Union of India - Act,"UNION OF INDIA,India",22 March 1850,22 March 1850,https://indiankanoon.org/doc/1631854/
"The Judicial Officers Protection Act, 1850",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 18 on 4 April 1850,4 April 1850,https://indiankanoon.org/doc/397110/
"The Caste Disabilities Removal Act, 1850",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 21 on 11 April 1850,11 April 1850,https://indiankanoon.org/doc/1508011/
"The Forfeited Deposits Act, 1850",Union of India - Act,"UNION OF INDIA,India",14 June 1850,14 June 1850,https://indiankanoon.org/doc/1471369/
"Indian Tolls Act, 1851",Union of India - Act,"UNION OF INDIA,India",4 July 1851,4 July 1851,https://indiankanoon.org/doc/1134554/
"Indian Tolls Act, 1851",Union of India - Act,"UNION OF INDIA,India",4 July 1851,4 July 1851,https://indiankanoon.org/doc/1134554/
"The Fatal Accidents Act, 1855",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 13 on 27 March 1855,27 March 1855,https://indiankanoon.org/doc/594667/
"Legal Representatives' Suits Act, 1855",Union of India - Act,"UNION OF INDIA,India",27 March 1855,27 March 1855,https://indiankanoon.org/doc/1057059/
"Usury Laws Repeal Act, 1855",Union of India - Act,"UNION OF INDIA,India",19 September 1855,19 September 1855,https://indiankanoon.org/doc/1146196/
"The Fatal Accidents Act, 1855",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 13 on 27 March 1855,27 March 1855,https://indiankanoon.org/doc/594667/
"Legal Representatives' Suits Act, 1855",Union of India - Act,"UNION OF INDIA,India",27 March 1855,27 March 1855,https://indiankanoon.org/doc/1057059/
"Usury Laws Repeal Act, 1855",Union of India - Act,"UNION OF INDIA,India",19 September 1855,19 September 1855,https://indiankanoon.org/doc/1146196/
